"target_quarter","days_to_release","asof","actual","labour","expenditure","ar1","hist_mean"
"2018Q3",45,"2018-10-21",0.377453658946658,0.620716636309117,0.669724349460053,0.865766043109585,0.647340703703725
"2018Q3",30,"2018-11-05",0.377453658946658,0.620716636309117,0.666374320074611,0.865766043109585,0.647340703703725
"2018Q3",20,"2018-11-15",0.377453658946658,0.620716636309117,0.666374320074611,0.865766043109585,0.647340703703725
"2018Q3",10,"2018-11-25",0.377453658946658,0.620716636309117,0.480835229413388,0.865766043109585,0.647340703703725
"2018Q3",5,"2018-11-30",0.377453658946658,0.620716636309117,0.327429674582874,0.865766043109585,0.647340703703725
"2018Q3",1,"2018-12-04",0.377453658946658,0.620716636309117,0.768640573287491,0.865766043109585,0.647340703703725
"2018Q4",150,"2018-10-07",0.25493283307092,0.627825759021962,0.638559975716534,0.857629060170136,0.647340703703725
"2018Q4",120,"2018-11-06",0.25493283307092,0.671217504434331,0.626272873827485,0.857629060170136,0.647340703703725
"2018Q4",90,"2018-12-06",0.25493283307092,0.944016566059447,1.03257147722976,0.887484183418252,0.639082387625858
"2018Q4",60,"2019-01-05",0.25493283307092,0.893266112325165,1.04829086364737,0.887484183418252,0.639082387625858
"2018Q4",45,"2019-01-20",0.25493283307092,0.73802790119657,1.04829086364737,0.887484183418252,0.639082387625858
"2018Q4",30,"2019-02-04",0.25493283307092,0.73802790119657,1.03839404006048,0.887484183418252,0.639082387625858
"2018Q4",20,"2019-02-14",0.25493283307092,0.73802790119657,1.03839404006048,0.887484183418252,0.639082387625858
"2018Q4",10,"2019-02-24",0.25493283307092,0.73802790119657,1.03839404006048,0.887484183418252,0.639082387625858
"2018Q4",5,"2019-03-01",0.25493283307092,0.73802790119657,0.914547892365628,0.887484183418252,0.639082387625858
"2018Q4",1,"2019-03-05",0.25493283307092,0.73802790119657,0.102473062318476,0.887484183418252,0.639082387625858
"2019Q1",150,"2019-01-06",0.725262387601866,0.637917905681352,0.591955245753044,0.854036596379742,0.639082387625858
"2019Q1",120,"2019-02-05",0.725262387601866,0.490473703615324,0.551657327025516,0.854036596379742,0.639082387625858
"2019Q1",90,"2019-03-07",0.725262387601866,0.991466154945994,0.684766060607396,0.892076906209323,0.656106992332032
"2019Q1",60,"2019-04-06",0.725262387601866,1.19117837037629,0.626259394284926,0.892076906209323,0.656106992332032
"2019Q1",45,"2019-04-21",0.725262387601866,1.30162382873194,0.626259394284926,0.892076906209323,0.656106992332032
"2019Q1",30,"2019-05-06",0.725262387601866,1.30162382873194,0.627160689473201,0.892076906209323,0.656106992332032
"2019Q1",20,"2019-05-16",0.725262387601866,1.30162382873194,0.627160689473201,0.892076906209323,0.656106992332032
"2019Q1",10,"2019-05-26",0.725262387601866,1.30162382873194,0.519628420705084,0.892076906209323,0.656106992332032
"2019Q1",5,"2019-05-31",0.725262387601866,1.30162382873194,0.747610611560763,0.892076906209323,0.656106992332032
"2019Q1",1,"2019-06-04",0.725262387601866,1.30162382873194,0.76487019797092,0.892076906209323,0.656106992332032
"2019Q2",150,"2019-04-07",0.305697788791526,0.649187190475517,0.605480335557102,0.85108007867321,0.656106992332032
"2019Q2",120,"2019-05-07",0.305697788791526,0.752097694531581,0.596624611959601,0.85108007867321,0.656106992332032
"2019Q2",90,"2019-06-06",0.305697788791526,0.42221166781692,0.420541162661004,0.861200505506483,0.64908574751421
"2019Q2",60,"2019-07-06",0.305697788791526,-0.00630988026286529,0.412288963179131,0.861200505506483,0.64908574751421
"2019Q2",45,"2019-07-21",0.305697788791526,-0.101402481273481,0.412288963179131,0.861200505506483,0.64908574751421
"2019Q2",30,"2019-08-05",0.305697788791526,-0.101402481273481,0.397705591480068,0.861200505506483,0.64908574751421
"2019Q2",20,"2019-08-15",0.305697788791526,-0.101402481273481,0.397705591480068,0.861200505506483,0.64908574751421
"2019Q2",10,"2019-08-25",0.305697788791526,-0.101402481273481,0.19709294260773,0.861200505506483,0.64908574751421
"2019Q2",5,"2019-08-30",0.305697788791526,-0.101402481273481,-0.445100122999495,0.861200505506483,0.64908574751421
"2019Q2",1,"2019-09-03",0.305697788791526,-0.101402481273481,-0.0839561719799311,0.861200505506483,0.64908574751421
"2019Q3",150,"2019-07-07",0.58390080796924,0.451195354781832,0.690522303967806,0.852495592040515,0.64908574751421
"2019Q3",120,"2019-08-06",0.58390080796924,0.353755400093205,0.681687910872502,0.852495592040515,0.64908574751421
"2019Q3",90,"2019-09-05",0.58390080796924,0.445653950186653,0.885472346086937,0.885439076421937,0.641299209590932
"2019Q3",60,"2019-10-05",0.58390080796924,0.521323140669194,0.945648423730411,0.885439076421937,0.641299209590932
"2019Q3",45,"2019-10-20",0.58390080796924,0.512681433102458,0.945648423730411,0.885439076421937,0.641299209590932
"2019Q3",30,"2019-11-04",0.58390080796924,0.512681433102458,0.945648077369566,0.885439076421937,0.641299209590932
"2019Q3",20,"2019-11-14",0.58390080796924,0.512681433102458,0.945648077369566,0.885439076421937,0.641299209590932
"2019Q3",10,"2019-11-24",0.58390080796924,0.512681433102458,0.945648077369566,0.885439076421937,0.641299209590932
"2019Q3",5,"2019-11-29",0.58390080796924,0.512681433102458,0.871694487332926,0.885439076421937,0.641299209590932
